sub_region,country,drug,year,wholesale_price,retail_price
North America,United States of America,Cocaine,1990,48300,79.95
North America,United States of America,Cocaine,1991,48100,76.58
North America,United States of America,Cocaine,1992,44730,72.79
North America,United States of America,Cocaine,1993,42180,74.11
North America,United States of America,Cocaine,1994,38640,68.01
North America,United States of America,Cocaine,1995,35700,72.01
North America,United States of America,Cocaine,1996,34320,73.03
North America,United States of America,Cocaine,1997,31960,72.37
North America,United States of America,Cocaine,1998,30870,72.49
North America,United States of America,Cocaine,1999,29580,70.22
North America,United States of America,Cocaine,2000,21500,76.73
North America,United States of America,Cocaine,2001,23000,73.54
North America,United States of America,Cocaine,2002,21500,71.03
North America,United States of America,Cocaine,2003,22066,73.78
North America,United States of America,Cocaine,2004,20500,69.63
North America,United States of America,Cocaine,2005,20500,66.18
North America,United States of America,Cocaine,2006,26500,64.03
North America,United States of America,Cocaine,2007,31000,69.62
North America,United States of America,Cocaine,2008,26500,78.28
North America,United States of America,Cocaine,2009,28250,83.68
North America,United States of America,Cocaine,2010,30750,83.74
North America,United States of America,Cocaine,2011,40800,84.88
North America,United States of America,Cocaine,2012,29000,96.39
North America,United States of America,Cocaine,2013,28750,98.72
North America,United States of America,Cocaine,2014,29000,103.09
North America,United States of America,Cocaine,2015,28250,103
North America,United States of America,Cocaine,2016,28000,91.79
North America,United States of America,Cocaine,2017,28000,98
North America,United States of America,Cocaine,2018,26000,101
North America,United States of America,Cocaine,2019,29000,120
North America,United States of America,Cocaine,2020,29000,120
North America,United States of America,Heroin,1990,162500,359.02
North America,United States of America,Heroin,1991,155000,427.78
North America,United States of America,Heroin,1992,150000,480.52
North America,United States of America,Heroin,1993,146000,373.51
North America,United States of America,Heroin,1994,142500,399.68
North America,United States of America,Heroin,1995,146000,395.16
North America,United States of America,Heroin,1996,141875,339.28
North America,United States of America,Heroin,1997,129375,357.01
North America,United States of America,Heroin,1998,125000,322.75
North America,United States of America,Heroin,1999,107000,310.18
North America,United States of America,Heroin,2000,81200,307.06
North America,United States of America,Heroin,2001,59500,284.89
North America,United States of America,Heroin,2002,50750,282.35
North America,United States of America,Heroin,2003,68800,267.88
North America,United States of America,Heroin,2004,65500,252.84
North America,United States of America,Heroin,2005,65000,255.61
North America,United States of America,Heroin,2006,65000,258.61
North America,United States of America,Heroin,2007,71200,229.52
North America,United States of America,Heroin,2008,57500,310.33
North America,United States of America,Heroin,2009,65053.25,274.89
North America,United States of America,Heroin,2010,65750,279.03
North America,United States of America,Heroin,2011,55583.33,260.43
North America,United States of America,Heroin,2012,61000,271.3
North America,United States of America,Heroin,2013,61000,259.59
North America,United States of America,Heroin,2014,68333.33,264.68
North America,United States of America,Heroin,2015,59500,264.94
North America,United States of America,Heroin,2016,53333.33,293.64
North America,United States of America,Heroin,2017,53333.33,360.85
North America,United States of America,Heroin,2018,53000,393.85
North America,United States of America,Heroin,2019,53000,393.85
North America,United States of America,Heroin,2020,53000,393.85
Western and Central Europe,Austria,Cocaine,1990,66000,198
Western and Central Europe,Austria,Cocaine,1991,66000,180
Western and Central Europe,Austria,Cocaine,1992,54000,167
Western and Central Europe,Austria,Cocaine,1993,40000,120
Western and Central Europe,Austria,Cocaine,1994,41946,126
Western and Central Europe,Austria,Cocaine,1995,52084,156
Western and Central Europe,Austria,Cocaine,1996,45875,138
Western and Central Europe,Austria,Cocaine,1997,56723,118
Western and Central Europe,Austria,Cocaine,1998,54440,113
Western and Central Europe,Austria,Cocaine,1999,38859,93
Western and Central Europe,Austria,Cocaine,2000,47094,94
Western and Central Europe,Austria,Cocaine,2001,43995,78
Western and Central Europe,Austria,Cocaine,2002,42385,71
Western and Central Europe,Austria,Cocaine,2003,59300,90
Western and Central Europe,Austria,Cocaine,2004,55894,103
Western and Central Europe,Austria,Cocaine,2005,59757,101
Western and Central Europe,Austria,Cocaine,2006,50185,78
Western and Central Europe,Austria,Cocaine,2007,61661,99
Western and Central Europe,Austria,Cocaine,2008,66176,110
Western and Central Europe,Austria,Cocaine,2009,48668,97
Western and Central Europe,Austria,Cocaine,2010,52989,97
Western and Central Europe,Austria,Cocaine,2011,62823,103
